boro,land_area (sq km),bike_routes,br_per_sqkm,br_length_tot (km),br_km_per_sqkm,d_hd,"d_hd, %",d_tot
Bronx,109.2,3490,31.95970695970696,202.18793707966546,1.8515378853449218,7353.0,0.2401214812879629,30622.0
Brooklyn,179.7,5978,33.26655537006121,409.2853397446067,2.2776034487735486,14580.0,0.28459886785086863,51230.0
Manhattan,58.7,5714,97.34241908006814,316.15352332963045,5.385920329295237,7428.0,0.23719504406693065,31316.0
Queens,281.6,5279,18.746448863636363,347.32014230545406,1.2333811871642544,12456.0,0.3045253404395766,40903.0
Staten Island,149.0,1158,7.771812080536913,100.50522645737843,0.6745317211904592,3890.0,0.3237619642114024,12015.0
